Severity,Temperature.F.,Wind_Chill.F.,Humidity...,Pressure.in.,Visibility.mi.,Wind_Direction,Wind_Speed.mph.,Precipitation.in.,Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Time_Of_Day,Month
3,52,49.642117042667,45,30.08,10,4,6.9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11
3,77,79.9796436248509,96,30.17,10,11,4.6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8
3,65.7,66.4203194236248,84,30.08,10,18,5.8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9
3,66.9,66.2903735983021,63,29.88,10,12,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
3,66,67.5516607827176,63,29.95,7,20,3.5,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
2,37,30.8794601035713,54,30.56,10,9,8.1,0,31,0,0,0,0,0,0,0,0,0,0,0,1,0,4,12
3,87.1,91.7686608318412,67,30.13,10,14,4.6,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,3,7
3,53.1,50.5043813865085,50,30.13,10,15,8.1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,12
2,39.2,34.1737629661649,93,30.02,10,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12
2,82.4,86.2378483232513,79,30.04,10,4,6.9,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,2,9
3,93.4,100.232685768958,32,29.79,10,12,15,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2,71.6,72.9068732462053,60,30.1,10,10,9.2,0,32,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11
3,37.4,32.0044946217285,70,30.1,10,1,7,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,12
3,55,53.2535378927247,57,30.47,10,8,6.9,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10
2,60.1,59.361378743232,86,30.02,10,1,7,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
3,34,24.15067282794,50,30.3,10,23,15,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12
3,50,47.1893730327833,58,30.03,10,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
2,57,56.6350550961573,47,29.92,10,20,4.6,0,32,0,0,0,0,0,0,0,0,0,0,0,1,0,3,12
2,57,52.0785321330062,74,30.22,10,22,25.3,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
2,78.1,81.149654462331,93,30.16,10,14,5.8,0.04,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
2,41,37.9593842732024,81,30.08,10,5,4.6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11
2,84.9,89.2490759332446,51,30.15,10,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8
2,86,90.6561213673071,82,30.12,10,6,10,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
3,69.8,70.3842322894292,83,29.88,10,16,11.5,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
3,78.8,82.0806565924333,83,30.08,9,4,4.6,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,4,9
3,89.1,94.4535114541078,48,29.87,10,16,9.2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2,75.2,77.0673600528923,44,30.01,5,22,12.7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
2,55.9,55.3511027270791,77,29.97,10,18,4.6,0,32,0,0,0,0,1,0,0,0,0,0,0,0,0,4,9
2,59,58.9695139490266,81,30.15,10,15,4.6,0,31,0,0,1,0,0,0,1,0,0,0,0,0,0,3,8
3,73,74.9078018783595,61,30.27,10,1,7,0,32,0,0,0,0,1,0,0,0,0,0,0,0,0,4,8
2,35.8,31.889791255742,97,29.79,10,18,4.6,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12
4,75,77.6451847719815,53,30.13,10,18,4.6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5
