"ID","Source","Severity","Start_Time","End_Time","Start_Lat","Start_Lng","End_Lat","End_Lng","Distance(mi)","Description","Street","City","County","State","Zipcode","Country","Timezone","Airport_Code","Weather_Timestamp","Temperature(F)","Wind_Chill(F)","Humidity(%)","Pressure(in)","Visibility(mi)","Wind_Direction","Wind_Speed(mph)","Precipitation(in)","Weather_Condition","Amenity","Bump","Crossing","Give_Way","Junction","No_Exit","Railway","Roundabout","Station","Stop","Traffic_Calming","Traffic_Signal","Turning_Loop","Sunrise_Sunset","Civil_Twilight","Nautical_Twilight","Astronomical_Twilight"
"A-76124","Source2",3,2016-11-29 21:39:27,2016-11-29 22:23:56,32.837429,-117.234398,NA,NA,0.01,"Accident on I-5 Southbound at Exits 26 26A 26B CA-52.","I-5 N","La Jolla","San Diego","CA","92037","US","US/Pacific","KMYF",2016-11-29 21:53:00,52,NA,45,30.08,10,"East",6.9,NA,"Clear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"A-137732","Source2",3,2016-08-17 04:22:54,2016-08-17 05:07:54,28.3265,-81.551422,NA,NA,0,"Accident on I-4 Eastbound at Exits 62 64 FL-417.","Central Florida Greeneway S","Kissimmee","Osceola","FL","34747","US","US/Eastern","KISM",2016-08-17 03:56:00,77,NA,96,30.17,10,"North",4.6,NA,"Clear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"A-172710","Source2",3,2016-09-13 08:12:59,2016-09-13 08:42:59,41.552624,-87.772713,NA,NA,0,"Accident on I-80 Eastbound at Exits 148A 148B IL-43 Harlem Ave.","I-80 E","Tinley Park","Cook","IL","60477","US","US/Central","KIGQ",2016-09-13 08:15:00,65.7,NA,84,30.08,10,"SW",5.8,NA,"Clear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-35426","Source2",3,2016-04-20 20:50:35,2016-04-20 22:05:35,37.774963,-121.320755,NA,NA,0.01,"Right hand shoulder blocked due to accident on I-205 Eastbound at I-5.","I-205 E","Lathrop","San Joaquin","CA","95330","US","US/Pacific","KSCK",2016-04-20 20:55:00,66.9,NA,63,29.88,10,"NW",15,NA,"Clear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Day"
"A-25833","Source2",3,2016-08-04 11:15:56,2016-08-04 12:00:56,37.317421,-121.935356,NA,NA,0,"Delays due to accident on I-280 Northbound at Exits 1C 5A 5B CA-17.","Sinclair Fwy N","San Jose","Santa Clara","CA","95128","US","US/Pacific","KSJC",2016-08-04 10:53:00,66,NA,63,29.95,7,"Variable",3.5,NA,"Scattered Clouds",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-3452433","Source1",2,2016-12-20 09:58:59,2016-12-20 15:58:59,35.262957,-80.854479,35.26296,-80.8545,0.001,"At Custer St - Accident.","Beatties Ford Rd","Charlotte","Mecklenburg","NC","28216-4514","US","US/Eastern","KCLT",2016-12-20 09:52:00,37,31,54,30.56,10,"NNE",8.1,NA,"Overcast",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Day","Day","Day","Day"
"A-144944","Source2",3,2016-07-21 14:41:36,2016-07-21 15:41:36,28.630995,-81.387535,NA,NA,0,"Delays expected and right lane blocked due to accident on I-4 Westbound before Exits 90 90A 90B / FL-414 Maitland Blvd.","W Maitland Blvd","Maitland","Orange","FL","32751","US","US/Eastern","KORL",2016-07-21 14:53:00,87.1,NA,67,30.13,10,"SE",4.6,NA,"Mostly Cloudy",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-3424868","Source1",3,2016-12-01 09:47:09,2016-12-01 15:47:09,33.226082,-96.989024,33.224127,-96.97751,0.679,"At FM-2931 - Accident.","US Highway 380","Crossroads","Denton","TX","76227-8231","US","US/Central","KDTO",2016-12-01 09:53:00,53.1,NA,50,30.13,10,"South",8.1,NA,"Clear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Day","Day","Day","Day"
"A-7473","Source2",2,2016-12-16 19:21:38,2016-12-16 19:51:30,38.588501,-121.291214,NA,NA,0.01,"Accident on US-50 Eastbound at Exit 17 Zinfandel Dr.","US-50 E","Rancho Cordova","Sacramento","CA","95670","US","US/Pacific","KMHR",2016-12-16 19:55:00,39.2,NA,93,30.02,10,"Calm",NA,NA,"Clear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"A-299573","Source2",2,2016-09-07 22:12:59,2016-09-07 22:42:59,29.675676,-95.546043,NA,NA,0,"Slow traffic due to accident on Bissonnet St Westbound at Plainfield St.","Plainfield St","Houston","Harris","TX","77036","US","US/Central","KMCJ",2016-09-07 22:15:00,82.4,NA,79,30.04,10,"East",6.9,NA,"Clear",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Night","Night","Night","Night"
