"ID","Source","Severity","Start_Time","End_Time","Start_Lat","Start_Lng","End_Lat","End_Lng","Distance(mi)","Description","Street","City","County","State","Zipcode","Country","Timezone","Airport_Code","Weather_Timestamp","Temperature(F)","Wind_Chill(F)","Humidity(%)","Pressure(in)","Visibility(mi)","Wind_Direction","Wind_Speed(mph)","Precipitation(in)","Weather_Condition","Amenity","Bump","Crossing","Give_Way","Junction","No_Exit","Railway","Roundabout","Station","Stop","Traffic_Calming","Traffic_Signal","Turning_Loop","Sunrise_Sunset","Civil_Twilight","Nautical_Twilight","Astronomical_Twilight"
"A-7736814","Source1","3",2019-06-11 21:05:15,2019-06-11 21:32:30,41.89486,-87.65651,41.897651,-87.65921,0.238,"Between Ogden Ave/Exit 50A and Milwaukee Ave/Exit 49B - Accident.","I-94 W","Chicago","Cook","IL","60642","US","US/Central","KMDW",2019-06-11 20:53:00,77,77,28,29.36,10,"S",6,0,"Mostly Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Day","Day"
"A-7652091","Source1","3",2017-12-22 20:01:02,2017-12-23 02:01:02,32.81233,-96.79121,32.80103,-96.79322,0.789,"At Blackburn St/Haskell Ave/Exit 1 - Accident. Right lane blocked.","US-75 S","Dallas","Dallas","TX","75204","US","US/Central","KDAL",2017-12-22 19:53:00,37,26.7,86,30.12,10,"NW",19.6,0,"Overcast",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"A-7316279","Source1","3",2019-12-17 00:31:10,2019-12-17 00:59:36,29.65894,-82.41846,29.65748,-82.41728,0.123,"At SR-26/Exit 387 - Accident. use hard shoulder as lane.","I-75 S","Gainesville","Alachua","FL","32607","US","US/Eastern","KGNV",2019-12-17 00:35:00,60,60,96,29.88,10,"CALM",0,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"A-7333980","Source1","3",2019-10-09 06:08:45,2019-10-09 18:13:00,45.93585,-122.84871,45.96009,-122.86796,1.913,"At W 3rd St - Accident. Left lane closed.","Columbia River Hwy","Deer Island","Columbia","OR","97054-9408","US","US/Pacific","KSPB",2019-10-09 05:53:00,36,36,100,30.2,0.25,"CALM",0,0,"Fog",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Day"
"A-7057258","Source1","3",2020-06-25 16:54:48,2020-06-25 17:09:48,41.29594,-73.93337,41.29594,-73.93337,0,"At Bear Mountain State Pky (Peekskill) - Accident.","US-6 W","Peekskill","Westchester","NY","10566","US","US/Eastern","KSWF",2020-06-25 16:45:00,84,84,30,29.41,20,"WSW",14,0,"Partly Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Day","Day","Day","Day"
"A-7737976","Source1","3",2019-06-13 06:14:15,2019-06-13 06:43:19,41.19024,-88.32034,41.18195,-88.32281,0.587,"At IL-53/Exit 227 - Accident.","I-55 S","Gardner","Grundy","IL","60424","US","US/Central","KC09",2019-06-13 06:15:00,54,54,84,29.22,10,"NW",10,0,"Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-7016144","Source1","3",2020-05-08 13:23:45,2020-05-08 13:58:43,40.24602,-75.6605,40.25772,-75.65619,0.84,"Between US-422 and Manatawny St - Accident traffic being directed around accident area.","Pottstown Pike","Pottstown","Montgomery","PA","19464","US","US/Eastern","KPTW",2020-05-08 12:54:00,45,45,76,29.5,9,"SE",3,0.01,"Light Rain",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-7739868","Source1","3",2019-06-18 18:56:11,2019-06-18 19:24:01,42.11775,-87.77868,42.11614,-87.77767,0.123,"At Tower Rd/Exit 31 - Accident.","I-94 W","Northbrook","Cook","IL","60062","US","US/Central","KPWK",2019-06-18 18:52:00,76,76,46,29.16,10,"E",6,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-7162849","Source1","3",2020-04-07 17:38:22,2020-04-07 19:38:08,33.8344,-118.08565,33.84291,-118.09057,0.652,"At Del Amo Blvd - Accident.","San Gabriel River Fwy N","Lakewood","Los Angeles","CA","90715","US","US/Pacific","KSLI",2020-04-07 17:29:00,57,57,82,29.87,3,"CALM",0,0,"Light Rain",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-7726379","Source1","3",2019-05-22 18:52:28,2019-05-22 19:22:04,41.8818,-87.64555,41.8829,-87.64557,0.076,"At Randolph St/Exit 51B - Accident.","I-94 W","Chicago","Cook","IL","60661","US","US/Central","KMDW",2019-05-22 18:53:00,80,80,48,29.19,10,"S",14,0,"Mostly Cloudy",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
